"Co-design activity 1 Group Reflection_Group 2","Co-design activity 1 Group Reflection_Group 2","6","[ -
COLLINTERACTIVE CLASS
Technology Supported Learning
Mobile Technology
Augmented Reality
Seemless Technology (OLED)
Human Factors
Teachers
Students
Collinteractive Class is A class environment (virtual) which facilitate collaborative, constructive and interactive learning supported by ICT enhancement (reach media).- ]","2017-10-03 13:39:52"
"Co-design activity 1_Group 2","Co-design activity 1_Group 2","1","[ -Students are morecapable of interacting with each other and instuctors usingubiquitous interactive screens- ]","2017-09-19 14:47:39"
"Co-design activity 1_Group 2","Co-design activity 1_Group 2","1","Technology is never step backward. It alwaysevolve. As well as education. Todays technology has integrated to education.","2017-09-19 14:51:59"
"Co-design activity 1_Group 2","Co-design activity 1_Group 2","1","[ -With the development of digital industry, one machine will eventually become the mainstream of the next generation,Students learn through the practical action of the vehicle, no more difficult.- ]","2017-09-19 14:54:40"
"Co-design activity 1_Group 2","Co-design activity 1_Group 2","1","[ -Paperless comes trueas images, charts or words onone screen are able to be copied to any other screen instantly and effortlessly- ]","2017-09-19 14:55:13"
"Co-design activity 1_Group 2","Co-design activity 1_Group 2","1","Technology and education are the most essential things in people's life. It helps us to compete in the 21st century. The video shows the future classroom setting which provided easiest way to do anything. Nowadays it helps teachers to revamping the traditional class lecture for learning.","2017-09-19 14:56:45"
"Co-design activity 1_Group 2","Co-design activity 1_Group 2","3","[ -When the new technology hardware and software into the classroom, the teacher for the use of teaching, will be homeopathy to adjust the original way; this time, technology may accelerate the education upgrade to 4.0 times, so that students really become the main learning.- ]","2017-09-19 15:00:33"
"Co-design activity 1_Group 2","Co-design activity 1_Group 2","1","Future technology will be:
- Augmented (Real-time and real environment experience)
- Seamless (We can use any media to get information: cards, papers, walls, etc)
- Portable (not depends on place and tools)
- Timeless (not depends on schedules)","2017-09-19 15:02:56"
"Co-design activity 1_Group 2","Co-design activity 1_Group 2","3","Some of these are already available or around the corner.
Advantages
&gt;No languge barriers.
&gt;Makes it much easier to proceed ICT based learning and social interaction at a global level.
&gt;COIL will be easier
Problems and Questions remains.
&gt;Peoples' ICT literacy.
&gt;Sustainability of the society where technology is highly appreciated at this level?
&gt;Leak of information could directly lead to destruction of one's life.
&gt;Singularity issue.
&gt; Translator (as a job) dissapears.","2017-09-19 15:04:06"
"Co-design activity 1_Group 2","Co-design activity 1_Group 2","3","[ -Education New Technology&gt; AR (Virtual Reality), VR (Virtual Reality), MR (Mixed Realism)- ]","2017-09-19 15:12:14"
"Co-design activity 1_Group 2","Co-design activity 1_Group 2","1","Use of wireless technologies and devices facilitate real-time and ubiquitouslearning, teaching and discussion.","2017-09-19 15:13:17"
"Co-design activity 1_Group 2","Co-design activity 1_Group 2","3","[ -Even if the use of technology is important, the essential aspects of learning and instruction must be the most to be considered-- ]","2017-09-19 15:17:33"
"Co-design activity 1_Group 2","Co-design activity 1_Group 2","2","But the most importantly is that we should not be dominated by this rapidly growing of communication technology, then this becomes an irony.","2017-09-19 15:17:45"
"Co-design activity 1_Group 2","Co-design activity 1_Group 2","1","Technology in need to thrive in this century","2017-09-19 15:17:55"
"Co-design activity 1_Group 2","Co-design activity 1_Group 2","2","According to the theory of 'doing the middle school' proposed by the educational scholar Dewey, many of the original boring courses are centered on 'student' -based interactive teaching, which is more centered on the 'teacher' than the traditional 'teacher' The one-way teaching model is more effective.","2017-09-19 15:19:11"
"Co-design activity 1_Group 2","Co-design activity 1_Group 2","1","issues most widely grown today is to humanize people while giving a lesson even teacher as a mere fasilitator","2017-09-19 15:22:17"
"Co-design activity 1_Group 2","Co-design activity 1_Group 2","1","[ - refers to the last meeting with Prof. Wu, he wanted us to refine our design regarding future classroom.
it's a human dimention era, what's we can do to the creative and innovative human being for next? that's a big question. Now, technology has changed the way of thinking, ways of learning and the meaning of education, from the teachers as the focus of teaching learning process into teachers as mere facilitators. also now, successful learning is measured by the student’s individual ability to apply the models of learning and to use appropriate tools and information given by teacher to solve the problem they face in teaching learning process. if you're agreed, I offer you a future class looks a like :D
1. as a mere fasilitator, teacher must have a remarkable instructional for teaching as a trigger for students. include (brainstorming, explanation, task and feedback) (need an improve :D)
2. Technological support.I wondering, there will be a flexible and tech-friendly class where the whiteboard as a moving screen that is located not only in front of the class, but also on the right, left, and behind the students like the wall. With technological sophistication in the future (show's on youtube),it is very possible happen especially on subjects that require groups. so the student can see what happen on the screen from all direction. (also need improve :D)
3. evaluation. The last point that I offer you is an evaluation. evaluation should not be stiff at all (remain: at all) in order for students that can bring out theor creativity and ideas then teachers will need an instrument for that.
just like completing a mission in a game, there is always an achievement when we reach the target that given by and there is always a bonus if we do it better. (really need an improvement :D)
is that all guys.
cheers, icha.
- ]","2017-09-24 18:48:05"
"Co-design activity 1_Group 2","Co-design activity 1_Group 2","1","[ - Science the technology and innovation are the key factors in the global world, intensive knowledge is highly needed. Nowadays, we all must know that the improvement of technology is growing rapidly and of course bring many changes to the worlds' culture. Rapid development of technology is indeed bring a lot of positive influence for humans in all over the world.
Some positive effects of the development of technology as follows:
1. Exchange of information is going on very quickly.
2. Facilitate human work.
3. Work becomes more effective and efficient, etc
Here is my idea about future classroom model ;
The future of teachers and students in this high technological era is no longer limited by the time and classrooms that are in the educational setting but teachers and students are already connected to a network of computers and the Net. Back to home and if the students want to consult with the teacher they can do via Net. Schools can even establish virtual classrooms for students to solve their problems or to explore different lessons that interest them. Teachers and students from different classes and levels can join the discussion in this virtual classroom. Learning becomes infinite in space and time. Distance learning and teaching via the Internet can be done effectively so that students go to school giving the possibility of not only gaining knowledge and socialization process that can not be obtained in learning via the internet. Computers can not take on all school functions but in the dissemination of information technology, it can shift from centralized, shared learning to individualized, decentralized learning. - ]","2017-09-25 13:12:59"
"Co-design activity 1_Group 2","Co-design activity 1_Group 2","5","[ - the idea about online consulting is a good keith :D, maybe teacher need an extra time for their student with the schedule so it will not disturb teacher's activity. then keith, in your idea ... how the class looks a like ?- ]","2017-09-25 22:34:00"
"Co-design activity 1_Group 2","Co-design activity 1_Group 2","6","[ -
Currently, interactive display technology has been developed intoOrganic Light-Emitting Diode (OLED). OLED is a semiconductor as a light emitter made of organic layers. Itis used in electroluminency technology, such as in screen or sensor display applications in order to make screen or display area to be more flexible and portable.
Imagine how easy it would be to share informations and knowledge if everyone has this tool. The problem is, OLED technology is still very expensive and yet affordable.
- ]","2017-09-26 08:07:55"
"Co-design activity 1_Group 2","Co-design activity 1_Group 2","6","[ -
Using OLED Display, or even Virtual Reality environment, and networking technologies, learners from different communities all over the world are expected to collaborate with each other in learning system. Classes or coursescan be conductedanywhere, anytime. Each member of community can share ideas in interaction to solve more problems in real life situation.
The main requirements are the availability of facilitators (teachers / systems), students as learners, instructional contents- with intention that the learning objectives can be evaluated, as well as the supporting media.
- ]","2017-09-26 08:15:35"
"Co-design activity 1_Group 2","Co-design activity 1_Group 2","6","[ - Hallo Icha, Here's the specific design of my idea;
I actually offer virtual environment with collaborative object. I use 'Learning Circle' concept for this kind of design.
[ - 'Learning circles' is type projects combine distance learning with traditional learning being perceived as a complex of human networks requiring adequate technical, human, financial and procedural management (Brown, 1993).
'Learning circles' promote projects based activities on a given Topic incorporating them into curriculum.- ]
[ -- The classroom model by using “Learning Circles' model, consist of teachers (Depends on class) that together with students in their school carry out activities in the topic of interest to the group. (the process will descbribe latter)
The concept of 'learning circle' involves both school and local community. One can refer to it as a virtual classroom because once formed the group is working together for a period of 4-5 months based on a curriculum established in relation to the selected topic.
At the end of the activity, the group publishes their work product using some provided media (facebook, etc.)
Such materials can be educational materials for other teachers and students who did not participate in the project. Each session at the start of a new 'learning circle' will form a new virtual classroom. The major advantage of the activity in this type of project is that both students and teachers acquire new experiences.
It can be said that activities allow members of the local community as well (scientists, artists, etc.) to participate in projects by utilizing the provide media.","2017-09-26 10:04:03"
"Co-design activity 1_Group 2","Co-design activity 1_Group 2","2","COLLINTERACTIVE CLASS
Technology Supported Learning
Mobile Technology
Augmented Reality
Seemless Technology (OLED)
Human Factors
Teachers
Students
Collinteractive Class is A class environment (virtual) which facilitate collaborative, constructive and interactive learning supported by ICT enhancement (reach media).-","2017-10-03 14:06:46"
"Co-design activity 1_Group 2","Co-design activity 1_Group 2","6 ","[ - for students as a native technology, teacher need remarkable instructional- ]","2017-10-03 14:07:27"
"Co-design activity 1_Group 3","Co-design activity 1_Group 3","1","1. VR AR MR 像是microsoft hololens
2.多人視訊達成遠距教學（HBX Intros HBX Live Virtual Classroom）
Image -> https://kf6.ikit.org//attachments/599c26851226781b09026d59/59c0be8d80921b270a947a25/1/20150825hbxlive.jpg
https://poetsandquants.com/2017/03/17/hbs-launches-first-real-time-online-class/
3.上課可透過直播的方式可以直接在網路上查看並自動產生翻譯字幕","2017-09-19 14:50:25"
"Co-design activity 1_Group 3","Co-design activity 1_Group 3","1","直接在桌面上使用類似小畫家的功能
Image -> https://kf6.ikit.org//attachments/599c26851226781b09026d59/59c0c0f980921b270a947fb1/1/2.PNG","2017-09-19 14:53:30"
"Co-design activity 1_Group 3","Co-design activity 1_Group 3","1","隨時隨地可以看到正在上課的影像。
Image -> https://kf6.ikit.org//attachments/599c26851226781b09026d59/59c0c1c980921b270a948159/1/擷取.PNG","2017-09-19 14:57:03"
"Co-design activity 1_Group 3","Co-design activity 1_Group 3","2","未來教室
優點:
1.減少紙本上的使用，節能減碳。
2.可以將面板上的東西可以拖移至自己的隨身設備 (平板、手機等.....)
3.利用觸控面板使得學習更加便利。
缺點:
1.設備越多，要維護不易。
2.要使用更加先進的設備，需要的資金成本越高。","2017-09-19 14:59:08"
"Co-design activity 1_Group 3","Co-design activity 1_Group 3","2","感覺查天氣或網頁之類的資訊，現在一般的手機或電腦或平板也能做到。
Image -> https://kf6.ikit.org//attachments/599c26851226781b09026d59/59c0c5b780921b270a948c3d/1/擷取.PNG","2017-09-19 14:59:32"
"Co-design activity 1_Group 3","Co-design activity 1_Group 3","2","將上課影片(甚至是上課的直播) 分組討論 回家作業 教材等建立一個統一的教學平台類似google classroom但是將上課內容加進去","2017-09-19 15:09:24"
